text,original_text,source,sentiment_score,positive_prob,neutral_prob,negative_prob,sentiment_label,created_at
"international investors control 48.7% of the spanish stock market, and family ownership falls to a 32-year low","International Investors Control 48.7% Of The Spanish Stock Market, And Family Ownership Falls To A 32-Year Low https://t.co/kAWdvoCJzn",twitter,0.9924723335566341,0.9924769997596741,0.007518384605646133,4.666203039960237e-06,positive,2025-10-02T18:44:34+00:00
"rt : the stock market is loving this schumer shutdown, making money and getting a smaller government. keep it shutdown.","RT @GuntherEagleman: The stock market is LOVING this SCHUMER shutdown,  making money and getting a smaller government.

Keep it shutdown.",twitter,0.605546971783042,0.6213539838790894,0.362839013338089,0.0158070120960474,positive,2025-10-02T18:44:33+00:00
he's a very entertaining stock analyst with incredibly accurate market predictions.,"@Thecryptolord_ @MACDMaster_88
👆🏻👆🏻
He's a very entertaining stock analyst with incredibly accurate market predictions. 🌐 🍀 🔥",twitter,-0.9999892139212534,5.421660716820043e-06,5.2811536477292975e-08,0.9999946355819702,negative,2025-10-02T18:44:31+00:00
he's a very entertaining stock analyst with incredibly accurate market predictions.,"@StatisticUrban @MACDMaster_88
👆🏻👆🏻
He's a very entertaining stock analyst with incredibly accurate market predictions. 💦 💰",twitter,-0.9999892139212534,5.421660716820043e-06,5.2811536477292975e-08,0.9999946355819702,negative,2025-10-02T18:44:28+00:00
"netflix's market value dropped about $15 billion after elon musk urged subscribers to cancel over concerns about ""woke"" content in kids' shows, like those with transgender themes. this sparked , leading to reported mass cancellations and a 3-4% stock dip. (sources: indiatimes,","@MSSA9119 @stats_feed Netflix's market value dropped about $15 billion after Elon Musk urged subscribers to cancel over concerns about ""woke"" content in kids' shows, like those with transgender themes. This sparked , leading to reported mass cancellations and a 3-4% stock dip. (Sources: Indiatimes,",twitter,-0.00013545952970162034,6.827441393397748e-05,0.9997280240058899,0.00020373394363559783,neutral,2025-10-02T18:44:27+00:00
rt : just an fyi. tesla stock is up nearly +120% in just 5 months since april. this kind of run is unheard of from a company…,RT @Teslaconomics: Just an FYI. Tesla stock is up nearly +120% in just 5 months since April. This kind of run is unheard of from a company…,twitter,-0.9995424581284169,0.0002059506659861654,4.568476651911624e-05,0.9997484087944031,negative,2025-10-02T18:44:27+00:00
it’s almost like the treasury and/or fed is in complete control of the stock market,@market_sleuth It’s almost like the treasury and/or Fed is in complete control of the stock market,twitter,0.9998774982384475,0.9998793601989746,0.00011867429566336796,1.8619605270941975e-06,positive,2025-10-02T18:44:24+00:00
"rt : the stock market is back to ""normal."" numerous multi-billion dollar companies were down 99% including berkshire hathaw…","RT @unusual_whales: The stock market is back to ""normal.""

Numerous multi-billion dollar companies were down 99% including Berkshire Hathaw…",twitter,5.373585963752703e-06,5.995263109070947e-06,0.9999933242797852,6.216771453182446e-07,neutral,2025-10-02T18:44:20+00:00
"rt : in 2006, london was raising a billion pounds a week on the stock market. today it’s down 99% - the london stock exchan…","RT @DanielPriestley: In 2006, London was raising a billion pounds a week on the stock market. Today it’s down 99% - the London Stock Exchan…",twitter,0.0013003010303691553,0.0013034469448029995,0.9986934065818787,3.1459144338441547e-06,neutral,2025-10-02T18:44:19+00:00
he's a very entertaining stock analyst with incredibly accurate market predictions. 🪐,"@IllimitableBot @MACDMaster_88
👆🏻👆🏻
He's a very entertaining stock analyst with incredibly accurate market predictions. 💎 🪐 🍀 🌂",twitter,-0.9999972760335822,1.2934549431520281e-06,1.563067542065255e-07,0.9999985694885254,negative,2025-10-02T18:44:19+00:00
